Class,total,true_positive,false_negative,false_positive,Precision,Recall,F1 Score
Ashy Tailorbird,9,1,8,1,0.5,0.1111111111111111,0.18181818181818182
Asian Glossy Starling,8,3,5,4,0.42857142857142855,0.375,0.4
Asian Koel,7,1,6,10,0.09090909090909091,0.14285714285714285,0.1111111111111111
Black-crowned night heron,8,2,6,1,0.6666666666666666,0.25,0.36363636363636365
Black-naped Oriole,7,2,5,2,0.5,0.2857142857142857,0.36363636363636365
Blue-tailed Bee-eater,8,2,6,10,0.16666666666666666,0.25,0.2
Blue-throated Bee-eater,10,5,5,21,0.19230769230769232,0.5,0.2777777777777778
Brahminy kite,8,2,6,7,0.2222222222222222,0.25,0.23529411764705882
Brown Shrike,8,7,1,2,0.7777777777777778,0.875,0.823529411764706
Brown-throated Sunbird,10,7,3,8,0.4666666666666667,0.7,0.56
Buffy fish owl,8,7,1,1,0.875,0.875,0.875
Chinese pond heron,8,5,3,2,0.7142857142857143,0.625,0.6666666666666666
Collared Kingfisher,9,3,6,15,0.16666666666666666,0.3333333333333333,0.2222222222222222
Common Flameback,9,2,7,1,0.6666666666666666,0.2222222222222222,0.3333333333333333
Common Iora,9,1,8,0,1.0,0.1111111111111111,0.2
Common Kingfisher,8,6,2,1,0.8571428571428571,0.75,0.8
Common Myna,8,3,5,5,0.375,0.375,0.375
Common Tailorbird,8,1,7,4,0.2,0.125,0.15384615384615385
Common sandpiper,8,6,2,5,0.5454545454545454,0.75,0.631578947368421
Coppersmith Barbet,8,3,5,3,0.5,0.375,0.4285714285714286
Crested serpent eagle,8,4,4,1,0.8,0.5,0.6153846153846154
Eastern cattle egret,8,6,2,4,0.6,0.75,0.6666666666666666
Grey heron,7,4,3,8,0.3333333333333333,0.5714285714285714,0.42105263157894735
Grey-headed fish eagle,9,6,3,4,0.6,0.6666666666666666,0.631578947368421
Javan Myna,8,1,7,2,0.3333333333333333,0.125,0.18181818181818182
Laced Woodpecker,9,3,6,0,1.0,0.3333333333333333,0.5
Little egret,7,3,4,0,1.0,0.42857142857142855,0.6
Malaysian Pied Fantail,9,9,0,7,0.5625,1.0,0.72
Olive-backed Sunbird,9,1,8,3,0.25,0.1111111111111111,0.15384615384615385
Oriental Magpie-Robin,7,6,1,6,0.5,0.8571428571428571,0.631578947368421
Oriental Pied Hornbill,7,7,0,0,1.0,1.0,1.0
Pacific Swallow,8,6,2,8,0.42857142857142855,0.75,0.5454545454545454
Pink-necked Green Pigeon,8,7,1,2,0.7777777777777778,0.875,0.823529411764706
Purple heron,7,3,4,2,0.6,0.42857142857142855,0.5
Rose-ringed Parakeet,8,6,2,0,1.0,0.75,0.8571428571428572
Rufous Woodpecker,9,3,6,5,0.375,0.3333333333333333,0.35294117647058826
Savanna Nightjar,9,9,0,2,0.8181818181818182,1.0,0.8999999999999999
Scarlet-backed Flowerpecker,9,4,5,7,0.36363636363636365,0.4444444444444444,0.4
Spotted wood owl,9,6,3,0,1.0,0.6666666666666666,0.8
Stork-billed Kingfisher,7,2,5,0,1.0,0.2857142857142857,0.4444444444444444
Striated heron,8,6,2,4,0.6,0.75,0.6666666666666666
Sunda Pygmy Woodpecker,8,7,1,3,0.7,0.875,0.7777777777777779
White-bellied sea eagle,6,2,4,10,0.16666666666666666,0.3333333333333333,0.2222222222222222
White-breasted waterhen,6,4,2,0,1.0,0.6666666666666666,0.8
White-throated Kingfisher,9,3,6,2,0.6,0.3333333333333333,0.42857142857142855
Yellow bittern,8,5,3,1,0.8333333333333334,0.625,0.7142857142857143
Yellow-vented Bulbul,7,3,4,0,1.0,0.42857142857142855,0.6
Zebra Dove,9,8,1,2,0.8,0.8888888888888888,0.8421052631578947
