Class,total,true_positive,false_negative,false_positive,Precision,Recall,F1 Score
Ashy Tailorbird,9,1,8,0,1.0,0.1111111111111111,0.2
Asian Glossy Starling,8,3,5,5,0.375,0.375,0.375
Asian Koel,7,4,3,6,0.4,0.5714285714285714,0.47058823529411764
Black-crowned night heron,8,5,3,0,1.0,0.625,0.7692307692307692
Black-naped Oriole,7,1,6,1,0.5,0.14285714285714285,0.2222222222222222
Blue-tailed Bee-eater,8,2,6,7,0.2222222222222222,0.25,0.23529411764705882
Blue-throated Bee-eater,10,4,6,19,0.17391304347826086,0.4,0.24242424242424243
Brahminy kite,8,0,8,1,0.0,0.0,0.0
Brown Shrike,8,6,2,2,0.75,0.75,0.75
Brown-throated Sunbird,10,8,2,13,0.38095238095238093,0.8,0.5161290322580645
Buffy fish owl,8,8,0,0,1.0,1.0,1.0
Chinese pond heron,8,6,2,2,0.75,0.75,0.75
Collared Kingfisher,9,4,5,18,0.18181818181818182,0.4444444444444444,0.25806451612903225
Common Flameback,9,3,6,2,0.6,0.3333333333333333,0.42857142857142855
Common Iora,9,2,7,0,1.0,0.2222222222222222,0.36363636363636365
Common Kingfisher,8,3,5,1,0.75,0.375,0.5
Common Myna,8,5,3,8,0.38461538461538464,0.625,0.4761904761904763
Common Tailorbird,8,1,7,4,0.2,0.125,0.15384615384615385
Common sandpiper,8,7,1,0,1.0,0.875,0.9333333333333333
Coppersmith Barbet,8,3,5,1,0.75,0.375,0.5
Crested serpent eagle,8,4,4,2,0.6666666666666666,0.5,0.5714285714285714
Eastern cattle egret,8,4,4,7,0.36363636363636365,0.5,0.42105263157894735
Grey heron,7,3,4,1,0.75,0.42857142857142855,0.5454545454545454
Grey-headed fish eagle,9,7,2,3,0.7,0.7777777777777778,0.7368421052631579
Javan Myna,8,2,6,4,0.3333333333333333,0.25,0.2857142857142857
Laced Woodpecker,9,3,6,0,1.0,0.3333333333333333,0.5
Little egret,7,4,3,4,0.5,0.5714285714285714,0.5333333333333333
Malaysian Pied Fantail,9,7,2,3,0.7,0.7777777777777778,0.7368421052631579
Olive-backed Sunbird,9,1,8,5,0.16666666666666666,0.1111111111111111,0.13333333333333333
Oriental Magpie-Robin,7,5,2,10,0.3333333333333333,0.7142857142857143,0.45454545454545453
Oriental Pied Hornbill,7,7,0,0,1.0,1.0,1.0
Pacific Swallow,8,7,1,6,0.5384615384615384,0.875,0.6666666666666666
Pink-necked Green Pigeon,8,7,1,0,1.0,0.875,0.9333333333333333
Purple heron,7,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143
Rose-ringed Parakeet,8,6,2,3,0.6666666666666666,0.75,0.7058823529411765
Rufous Woodpecker,9,6,3,1,0.8571428571428571,0.6666666666666666,0.7499999999999999
Savanna Nightjar,9,9,0,4,0.6923076923076923,1.0,0.8181818181818181
Scarlet-backed Flowerpecker,9,1,8,5,0.16666666666666666,0.1111111111111111,0.13333333333333333
Spotted wood owl,9,6,3,1,0.8571428571428571,0.6666666666666666,0.7499999999999999
Stork-billed Kingfisher,7,1,6,2,0.3333333333333333,0.14285714285714285,0.2
Striated heron,8,7,1,3,0.7,0.875,0.7777777777777779
Sunda Pygmy Woodpecker,8,8,0,2,0.8,1.0,0.8888888888888888
White-bellied sea eagle,6,4,2,6,0.4,0.6666666666666666,0.5
White-breasted waterhen,6,6,0,2,0.75,1.0,0.8571428571428572
White-throated Kingfisher,9,1,8,4,0.2,0.1111111111111111,0.14285714285714285
Yellow bittern,8,4,4,2,0.6666666666666666,0.5,0.5714285714285714
Yellow-vented Bulbul,7,5,2,3,0.625,0.7142857142857143,0.6666666666666666
Zebra Dove,9,8,1,0,1.0,0.8888888888888888,0.9411764705882353
