Class,total,true_positive,false_negative,false_positive,Precision,Recall,F1 Score
Ashy Tailorbird,9,1,8,0,1.0,0.1111111111111111,0.2
Asian Glossy Starling,8,3,5,18,0.14285714285714285,0.375,0.20689655172413796
Asian Koel,7,4,3,40,0.09090909090909091,0.5714285714285714,0.1568627450980392
Black-crowned night heron,8,0,8,0,,0.0,
Black-naped Oriole,7,2,5,3,0.4,0.2857142857142857,0.3333333333333333
Blue-tailed Bee-eater,8,2,6,15,0.11764705882352941,0.25,0.16
Blue-throated Bee-eater,10,4,6,33,0.10810810810810811,0.4,0.1702127659574468
Brahminy kite,8,0,8,0,,0.0,
Brown Shrike,8,6,2,21,0.2222222222222222,0.75,0.34285714285714286
Brown-throated Sunbird,10,8,2,19,0.2962962962962963,0.8,0.43243243243243246
Buffy fish owl,8,0,8,0,,0.0,
Chinese pond heron,8,0,8,0,,0.0,
Collared Kingfisher,9,0,9,0,,0.0,
Common Flameback,9,0,9,0,,0.0,
Common Iora,9,2,7,2,0.5,0.2222222222222222,0.3076923076923077
Common Kingfisher,8,0,8,0,,0.0,
Common Myna,8,5,3,10,0.3333333333333333,0.625,0.4347826086956522
Common Tailorbird,8,2,6,7,0.2222222222222222,0.25,0.23529411764705882
Common sandpiper,8,0,8,0,,0.0,
Coppersmith Barbet,8,0,8,0,,0.0,
Crested serpent eagle,8,0,8,0,,0.0,
Eastern cattle egret,8,0,8,0,,0.0,
Grey heron,7,0,7,0,,0.0,
Grey-headed fish eagle,9,0,9,0,,0.0,
Javan Myna,8,2,6,10,0.16666666666666666,0.25,0.2
Laced Woodpecker,9,0,9,0,,0.0,
Little egret,7,0,7,0,,0.0,
Malaysian Pied Fantail,9,7,2,4,0.6363636363636364,0.7777777777777778,0.7000000000000001
Olive-backed Sunbird,9,1,8,5,0.16666666666666666,0.1111111111111111,0.13333333333333333
Oriental Magpie-Robin,7,5,2,16,0.23809523809523808,0.7142857142857143,0.35714285714285715
Oriental Pied Hornbill,7,7,0,11,0.3888888888888889,1.0,0.56
Pacific Swallow,8,7,1,10,0.4117647058823529,0.875,0.5599999999999999
Pink-necked Green Pigeon,8,7,1,4,0.6363636363636364,0.875,0.7368421052631579
Purple heron,7,0,7,0,,0.0,
Rose-ringed Parakeet,8,6,2,9,0.4,0.75,0.5217391304347826
Rufous Woodpecker,9,0,9,0,,0.0,
Savanna Nightjar,9,9,0,15,0.375,1.0,0.5454545454545455
Scarlet-backed Flowerpecker,9,1,8,7,0.125,0.1111111111111111,0.11764705882352941
Spotted wood owl,9,0,9,0,,0.0,
Stork-billed Kingfisher,7,0,7,0,,0.0,
Striated heron,8,0,8,1,0.0,0.0,0.0
Sunda Pygmy Woodpecker,8,0,8,0,,0.0,
White-bellied sea eagle,6,0,6,0,,0.0,
White-breasted waterhen,6,0,6,0,,0.0,
White-throated Kingfisher,9,0,9,0,,0.0,
Yellow bittern,8,0,8,0,,0.0,
Yellow-vented Bulbul,7,5,2,9,0.35714285714285715,0.7142857142857143,0.4761904761904763
Zebra Dove,9,8,1,16,0.3333333333333333,0.8888888888888888,0.48484848484848486
